,block_idx,total_crossovers,unique_switch_types,dominant_switch,dominant_count,diversity_ratio
330,348,4,4,"(4, 5) -> (4, 4)",1,1.0
321,338,4,3,"(1, 3) -> (1, 1)",2,0.75
255,271,4,4,"(0, 1) -> (0, 3)",1,1.0
249,265,4,4,"(0, 4) -> (0, 1)",1,1.0
129,142,4,4,"(2, 2) -> (0, 2)",1,1.0
52,53,4,4,"(0, 3) -> (3, 3)",1,1.0
97,108,4,4,"(4, 5) -> (1, 4)",1,1.0
90,100,4,4,"(3, 3) -> (3, 4)",1,1.0
92,103,4,3,"(0, 2) -> (0, 1)",2,0.75
95,106,4,4,"(3, 3) -> (1, 3)",1,1.0
204,218,4,3,"(1, 2) -> (0, 1)",2,0.75
206,220,4,4,"(2, 6) -> (0, 6)",1,1.0
388,412,4,4,"(0, 2) -> (0, 0)",1,1.0
383,406,4,2,"(1, 4) -> (4, 4)",3,0.5
385,408,4,4,"(0, 1) -> (0, 4)",1,1.0
13,14,3,3,"(1, 1) -> (1, 5)",1,1.0
17,18,3,3,"(2, 4) -> (0, 2)",1,1.0
23,24,3,3,"(0, 1) -> (0, 2)",1,1.0
40,41,3,3,"(1, 2) -> (0, 1)",1,1.0
35,36,3,3,"(0, 0) -> (0, 1)",1,1.0
364,384,3,3,"(0, 3) -> (2, 3)",1,1.0
258,274,3,3,"(0, 4) -> (0, 3)",1,1.0
252,268,3,3,"(0, 1) -> (0, 0)",1,1.0
259,275,3,3,"(3, 3) -> (1, 3)",1,1.0
207,221,3,1,"(1, 1) -> (1, 3)",3,0.3333333333333333
223,238,3,3,"(2, 2) -> (2, 3)",1,1.0
216,230,3,3,"(1, 2) -> (0, 2)",1,1.0
107,119,3,3,"(0, 0) -> (0, 2)",1,1.0
48,49,3,3,"(5, 7) -> (4, 5)",1,1.0
51,52,3,3,"(2, 3) -> (1, 3)",1,1.0
50,51,3,3,"(0, 0) -> (0, 3)",1,1.0
334,352,3,2,"(1, 4) -> (1, 2)",2,0.6666666666666666
60,62,3,1,"(0, 2) -> (1, 2)",3,0.3333333333333333
237,253,3,3,"(0, 4) -> (0, 5)",1,1.0
236,252,3,3,"(0, 1) -> (0, 0)",1,1.0
261,277,3,2,"(0, 4) -> (4, 4)",2,0.6666666666666666
184,198,3,2,"(3, 7) -> (7, 8)",2,0.6666666666666666
181,195,3,3,"(0, 3) -> (3, 3)",1,1.0
166,180,3,3,"(0, 1) -> (1, 1)",1,1.0
167,181,3,3,"(0, 3) -> (0, 1)",1,1.0
158,171,3,3,"(3, 3) -> (2, 3)",1,1.0
272,288,3,3,"(0, 5) -> (1, 5)",1,1.0
185,199,3,3,"(2, 3) -> (1, 3)",1,1.0
281,297,3,3,"(0, 0) -> (0, 1)",1,1.0
295,311,3,3,"(2, 6) -> (1, 6)",1,1.0
297,313,3,3,"(2, 3) -> (2, 7)",1,1.0
153,166,3,2,"(0, 1) -> (1, 2)",2,0.6666666666666666
155,168,3,3,"(1, 3) -> (0, 1)",1,1.0
322,340,3,2,"(1, 1) -> (0, 1)",2,0.6666666666666666
94,105,3,3,"(1, 8) -> (1, 3)",1,1.0
100,111,3,3,"(0, 3) -> (0, 1)",1,1.0
331,349,3,3,"(0, 2) -> (2, 4)",1,1.0
302,318,3,3,"(2, 3) -> (0, 3)",1,1.0
308,325,3,3,"(0, 2) -> (2, 2)",1,1.0
306,323,3,3,"(2, 4) -> (2, 3)",1,1.0
123,136,3,2,"(0, 1) -> (1, 1)",2,0.6666666666666666
122,135,3,3,"(0, 2) -> (2, 2)",1,1.0
109,121,3,3,"(3, 4) -> (2, 3)",1,1.0
108,120,3,3,"(0, 2) -> (2, 2)",1,1.0
355,375,3,3,"(0, 3) -> (3, 3)",1,1.0
357,377,3,3,"(5, 6) -> (4, 6)",1,1.0
0,1,2,2,"(0, 1) -> (1, 1)",1,1.0
9,10,2,2,"(0, 2) -> (0, 0)",1,1.0
25,26,2,2,"(1, 2) -> (1, 3)",1,1.0
31,32,2,2,"(0, 2) -> (1, 2)",1,1.0
33,34,2,2,"(1, 3) -> (0, 1)",1,1.0
36,37,2,2,"(1, 3) -> (0, 3)",1,1.0
277,293,2,2,"(2, 3) -> (0, 3)",1,1.0
235,251,2,2,"(2, 4) -> (2, 3)",1,1.0
279,295,2,2,"(3, 4) -> (3, 3)",1,1.0
195,209,2,2,"(1, 3) -> (3, 3)",1,1.0
269,285,2,2,"(0, 3) -> (0, 0)",1,1.0
144,157,2,2,"(0, 3) -> (3, 3)",1,1.0
161,175,2,2,"(0, 2) -> (0, 0)",1,1.0
280,296,2,2,"(2, 3) -> (0, 2)",1,1.0
289,305,2,2,"(0, 3) -> (3, 5)",1,1.0
142,155,2,2,"(0, 1) -> (1, 1)",1,1.0
140,153,2,2,"(2, 3) -> (3, 3)",1,1.0
291,307,2,2,"(2, 4) -> (2, 3)",1,1.0
165,179,2,2,"(0, 2) -> (0, 1)",1,1.0
391,415,2,2,"(0, 1) -> (1, 3)",1,1.0
229,245,2,2,"(0, 1) -> (0, 3)",1,1.0
173,187,2,2,"(4, 4) -> (0, 4)",1,1.0
178,192,2,2,"(1, 4) -> (1, 2)",1,1.0
239,255,2,2,"(3, 4) -> (2, 4)",1,1.0
238,254,2,2,"(4, 4) -> (0, 4)",1,1.0
366,387,2,2,"(0, 2) -> (1, 2)",1,1.0
205,219,2,2,"(0, 2) -> (0, 1)",1,1.0
371,392,2,2,"(2, 3) -> (2, 5)",1,1.0
381,404,2,2,"(0, 0) -> (0, 1)",1,1.0
387,411,2,2,"(0, 1) -> (0, 0)",1,1.0
102,113,2,2,"(0, 1) -> (1, 8)",1,1.0
314,331,2,2,"(0, 3) -> (2, 3)",1,1.0
362,382,2,2,"(0, 2) -> (0, 3)",1,1.0
361,381,2,2,"(0, 2) -> (0, 3)",1,1.0
356,376,2,2,"(1, 3) -> (2, 3)",1,1.0
335,353,2,2,"(0, 2) -> (0, 1)",1,1.0
57,58,2,2,"(0, 4) -> (4, 4)",1,1.0
47,48,2,2,"(0, 2) -> (1, 2)",1,1.0
332,350,2,2,"(1, 2) -> (0, 1)",1,1.0
72,82,2,2,"(3, 4) -> (4, 4)",1,1.0
10,11,2,2,"(0, 0) -> (0, 5)",1,1.0
398,422,2,2,"(1, 2) -> (1, 1)",1,1.0
305,321,2,2,"(0, 3) -> (3, 6)",1,1.0
135,148,2,2,"(1, 2) -> (2, 2)",1,1.0
125,138,2,2,"(2, 2) -> (0, 2)",1,1.0
127,140,2,2,"(0, 3) -> (1, 3)",1,1.0
309,326,2,1,"(1, 2) -> (2, 2)",2,0.5
300,316,2,2,"(0, 0) -> (0, 3)",1,1.0
274,290,2,2,"(3, 3) -> (1, 3)",1,1.0
312,329,2,2,"(0, 1) -> (1, 1)",1,1.0
82,92,2,1,"(0, 3) -> (0, 2)",2,0.5
78,88,2,2,"(0, 4) -> (3, 4)",1,1.0
87,97,2,2,"(0, 4) -> (0, 1)",1,1.0
91,102,2,2,"(0, 0) -> (0, 1)",1,1.0
28,29,1,1,"(2, 2) -> (0, 2)",1,1.0
21,22,1,1,"(1, 2) -> (1, 3)",1,1.0
226,242,1,1,"(0, 3) -> (3, 3)",1,1.0
368,389,1,1,"(1, 2) -> (0, 2)",1,1.0
256,272,1,1,"(0, 0) -> (0, 1)",1,1.0
264,280,1,1,"(0, 3) -> (3, 4)",1,1.0
267,283,1,1,"(1, 5) -> (1, 1)",1,1.0
180,194,1,1,"(2, 2) -> (0, 2)",1,1.0
143,156,1,1,"(0, 2) -> (2, 3)",1,1.0
197,211,1,1,"(1, 2) -> (2, 2)",1,1.0
196,210,1,1,"(1, 1) -> (1, 3)",1,1.0
192,206,1,1,"(0, 0) -> (0, 2)",1,1.0
187,201,1,1,"(0, 1) -> (1, 3)",1,1.0
188,202,1,1,"(0, 2) -> (2, 2)",1,1.0
202,216,1,1,"(0, 3) -> (1, 3)",1,1.0
275,291,1,1,"(2, 3) -> (2, 2)",1,1.0
198,212,1,1,"(2, 3) -> (0, 3)",1,1.0
218,232,1,1,"(0, 3) -> (0, 2)",1,1.0
210,224,1,1,"(0, 2) -> (2, 2)",1,1.0
394,418,1,1,"(2, 4) -> (2, 2)",1,1.0
319,336,1,1,"(0, 5) -> (0, 1)",1,1.0
328,346,1,1,"(0, 0) -> (0, 1)",1,1.0
324,342,1,1,"(1, 1) -> (1, 2)",1,1.0
120,132,1,1,"(5, 5) -> (4, 5)",1,1.0
79,89,1,1,"(1, 1) -> (1, 4)",1,1.0
318,335,1,1,"(3, 4) -> (0, 3)",1,1.0
316,333,1,1,"(1, 2) -> (1, 4)",1,1.0
317,334,1,1,"(2, 3) -> (3, 5)",1,1.0
49,50,1,1,"(0, 3) -> (0, 1)",1,1.0
56,57,1,1,"(0, 3) -> (1, 3)",1,1.0
58,59,1,1,"(0, 1) -> (0, 2)",1,1.0
70,80,1,1,"(0, 5) -> (0, 4)",1,1.0
73,83,1,1,"(3, 3) -> (2, 3)",1,1.0
75,85,1,1,"(0, 1) -> (1, 1)",1,1.0
349,368,1,1,"(1, 3) -> (2, 3)",1,1.0
353,373,1,1,"(0, 1) -> (1, 3)",1,1.0
354,374,1,1,"(0, 2) -> (0, 1)",1,1.0
338,356,1,1,"(0, 4) -> (2, 4)",1,1.0
359,379,1,1,"(2, 2) -> (2, 3)",1,1.0
397,421,1,1,"(1, 2) -> (1, 1)",1,1.0
