Sample_Index,Generation,Approx_Position,Sample_ID
134,F3,3960865.0249532126,F3_24
134,F3,4816032.575795383,F3_24
134,F3,15648154.886462882,F3_24
134,F3,16233269.526512789,F3_24
134,F3,18558725.147223953,F3_24
135,F3,4756020.817841547,F3_25
135,F3,8101676.323767935,F3_25
135,F3,8386732.174048658,F3_25
135,F3,10367120.186525265,F3_25
135,F3,17043428.258889582,F3_25
135,F3,20929189.586400498,F3_25
136,F3,4095891.4803493447,F3_26
136,F3,6811423.527760449,F3_26
136,F3,7576573.441671865,F3_26
136,F3,8401735.113537118,F3_26
136,F3,11597361.224578913,F3_26
136,F3,11642370.043044291,F3_26
136,F3,11657372.98253275,F3_26
136,F3,12722581.68621335,F3_26
136,F3,12992634.597005613,F3_26
136,F3,13487731.600124765,F3_26
136,F3,13667766.873986276,F3_26
136,F3,15513128.43106675,F3_26
136,F3,15708166.644416718,F3_26
136,F3,16758372.408608858,F3_26
136,F3,18018619.325639427,F3_26
136,F3,18723757.481597006,F3_26
136,F3,21784357.137242667,F3_26
136,F3,22249448.2613849,F3_26
137,F2,1485380.0093574547,F3_27
137,F2,3960865.0249532126,F3_27
137,F2,4170906.1777916406,F3_27
137,F2,18558725.147223953,F3_27
137,F2,21709342.439800374,F3_27
138,F2,180124.27386150966,F3_28
138,F2,1965474.0729881471,F3_28
138,F2,2385556.378665003,F3_28
138,F2,9286908.543356206,F3_28
138,F2,9376926.18028696,F3_28
138,F2,11537349.466625078,F3_28
138,F2,13427719.84217093,F3_28
138,F2,18453704.57080474,F3_28
138,F2,22324462.958827198,F3_28
140,F3,4410953.2096069865,F3_30
140,F3,8041664.565814098,F3_30
140,F3,8716796.84279476,F3_30
140,F3,14072846.240174672,F3_30
140,F3,16758372.408608858,F3_30
140,F3,17748566.41484716,F3_30
140,F3,18618736.90517779,F3_30
140,F3,18723757.481597006,F3_30
140,F3,23929777.484092325,F3_30
141,F2,3930859.1459762943,F3_31
141,F2,4170906.1777916406,F3_31
142,F2,8101676.323767935,F3_32
142,F2,8386732.174048658,F3_32
142,F2,11537349.466625078,F3_32
142,F2,15423110.794135993,F3_32
143,F2,1155315.3406113537,F3_33
143,F2,4365944.391141609,F3_33
143,F2,4816032.575795383,F3_33
143,F2,7336526.409856519,F3_33
143,F2,15648154.886462882,F3_33
143,F2,18453704.57080474,F3_33
143,F2,19548919.153462257,F3_33
143,F2,22324462.958827198,F3_33
144,F2,180124.27386150966,F3_34
144,F2,17508519.383031815,F3_34
144,F2,18198654.599500936,F3_34
144,F2,23344662.84404242,F3_34
144,F2,23389671.6625078,F3_34
145,F3,1155315.3406113537,F3_35
145,F3,2700618.107922645,F3_35
145,F3,5071082.547099189,F3_35
145,F3,8611776.266375545,F3_35
145,F3,9016855.632563943,F3_35
145,F3,9406932.05926388,F3_35
145,F3,10562158.399875233,F3_35
145,F3,17508519.383031815,F3_35
146,F3,5131094.3050530255,F3_36
146,F3,5866238.339987523,F3_36
146,F3,10007049.638802245,F3_36
146,F3,13517737.479101684,F3_36
146,F3,17508519.383031815,F3_36
147,F2,6091282.43231441,F3_37
147,F2,7861629.291952589,F3_37
147,F2,17193457.653774172,F3_37
147,F2,19068825.089831565,F3_37
147,F2,19668942.669369932,F3_37
147,F2,19773963.245789144,F3_37
148,F3,1155315.3406113537,F3_38
148,F3,5161100.184029943,F3_38
148,F3,7906638.110417966,F3_38
148,F3,17508519.383031815,F3_38
148,F3,20344074.946350593,F3_38
148,F3,22324462.958827198,F3_38
148,F3,23314656.9650655,F3_38
149,F3,2310541.6812227075,F3_39
149,F3,8101676.323767935,F3_39
149,F3,8326720.416094822,F3_39
149,F3,23014598.175296318,F3_39
149,F3,23029601.114784777,F3_39
150,F3,16368295.98190892,F3_40
150,F3,16758372.408608858,F3_40
150,F3,17508519.383031815,F3_40
150,F3,17748566.41484716,F3_40
150,F3,20539113.15970056,F3_40
150,F3,20839171.94946974,F3_40
150,F3,21979395.35059264,F3_40
151,F1,5611188.368683718,F3_41
151,F1,5821229.521522146,F3_41
151,F1,8461746.871490953,F3_41
151,F1,10757196.613225203,F3_41
152,F2,2040488.7704304429,F3_42
152,F2,2115503.4678727384,F3_42
152,F2,4771023.757330006,F3_42
152,F2,15648154.886462882,F3_42
152,F2,19773963.245789144,F3_42
152,F2,22324462.958827198,F3_42
154,F2,2355550.4996880847,F3_44
154,F2,4635997.301933873,F3_44
154,F2,18453704.57080474,F3_44
154,F2,19158842.72676232,F3_44
154,F2,23839759.847161572,F3_44
155,F2,180124.27386150966,F3_45
155,F2,2355550.4996880847,F3_45
155,F2,13442722.781659387,F3_45
155,F2,18453704.57080474,F3_45
155,F2,19818972.064254522,F3_45
155,F2,22324462.958827198,F3_45
156,F2,1755432.920149719,F3_46
156,F2,6706402.951341235,F3_46
156,F2,8356726.29507174,F3_46
156,F2,14012834.482220836,F3_46
156,F2,15648154.886462882,F3_46
156,F2,22984592.2963194,F3_46
157,F2,180124.27386150966,F3_47
157,F2,5551176.610729882,F3_47
157,F2,6091282.43231441,F3_47
157,F2,9121876.208983157,F3_47
157,F2,9286908.543356206,F3_47
157,F2,9376926.18028696,F3_47
157,F2,16773375.348097317,F3_47
157,F2,18033622.265127886,F3_47
157,F2,18318678.115408607,F3_47
157,F2,22324462.958827198,F3_47
158,F2,1005285.9457267623,F3_48
158,F2,2865650.4422956957,F3_48
158,F2,11837408.25639426,F3_48
158,F2,17508519.383031815,F3_48
158,F2,18363686.933873985,F3_48
158,F2,18993810.392389268,F3_48
158,F2,19398889.758577667,F3_48
159,F2,6361335.343106675,F3_49
159,F2,8011658.68683718,F3_49
159,F2,12527543.47286338,F3_49
159,F2,16758372.408608858,F3_49
159,F2,16893398.86400499,F3_49
159,F2,17748566.41484716,F3_49
160,F3,1155315.3406113537,F3_50
160,F3,5161100.184029943,F3_50
160,F3,8071670.444791016,F3_50
160,F3,17508519.383031815,F3_50
161,F3,4440959.088583905,F3_51
161,F3,4696009.05988771,F3_51
161,F3,7006461.741110418,F3_51
161,F3,10022052.578290705,F3_51
161,F3,17163451.774797253,F3_51
161,F3,18723757.481597006,F3_51
162,F3,420171.30567685585,F3_52
162,F3,4605991.422956956,F3_52
162,F3,5326132.518402994,F3_52
162,F3,6511364.737991266,F3_52
162,F3,11312305.37429819,F3_52
162,F3,18723757.481597006,F3_52
162,F3,22084415.92701185,F3_52
163,F3,675221.2769806612,F3_53
163,F3,7411541.107298815,F3_53
163,F3,7996655.747348721,F3_53
163,F3,10007049.638802245,F3_53
163,F3,11852411.195882719,F3_53
163,F3,19953998.519650653,F3_53
163,F3,21649330.681846537,F3_53
163,F3,22324462.958827198,F3_53
164,F3,1770435.8596381783,F3_54
164,F3,1950471.133499688,F3_54
164,F3,6091282.43231441,F3_54
164,F3,9481946.756706176,F3_54
164,F3,10442134.88396756,F3_54
164,F3,10892223.068621334,F3_54
164,F3,11597361.224578913,F3_54
164,F3,11642370.043044291,F3_54
164,F3,11657372.98253275,F3_54
164,F3,12992634.597005613,F3_54
164,F3,13442722.781659387,F3_54
164,F3,22819559.96194635,F3_54
165,F2,2670612.2289457265,F3_55
165,F2,18453704.57080474,F3_55
165,F2,19999007.33811603,F3_55
165,F2,20734151.37305053,F3_55
165,F2,21454292.46849657,F3_55
165,F2,23344662.84404242,F3_55
165,F2,23839759.847161572,F3_55
166,F3,10007049.638802245,F3_56
166,F3,11747390.619463505,F3_56
166,F3,14477925.60636307,F3_56
167,F3,1155315.3406113537,F3_57
167,F3,3675809.174672489,F3_57
167,F3,15813187.220835932,F3_57
167,F3,18723757.481597006,F3_57
167,F3,20254057.309419837,F3_57
167,F3,23194633.449157827,F3_57
168,F3,5506167.792264503,F3_58
168,F3,8101676.323767935,F3_58
168,F3,8386732.174048658,F3_58
168,F3,9136879.148471614,F3_58
168,F3,12527543.47286338,F3_58
168,F3,14147860.937616967,F3_58
168,F3,16758372.408608858,F3_58
168,F3,17748566.41484716,F3_58
168,F3,18018619.325639427,F3_58
168,F3,18723757.481597006,F3_58
168,F3,22249448.2613849,F3_58
169,F3,4170906.1777916406,F3_59
169,F3,4440959.088583905,F3_59
169,F3,15828190.160324391,F3_59
169,F3,18723757.481597006,F3_59
169,F3,23119618.751715533,F3_59
170,F3,8251705.718652526,F3_60
170,F3,10007049.638802245,F3_60
171,F3,16158254.829070492,F3_61
171,F3,19188848.60573924,F3_61
172,F3,675221.2769806612,F3_62
172,F3,1155315.3406113537,F3_62
172,F3,3585791.537741734,F3_62
172,F3,4816032.575795383,F3_62
172,F3,9286908.543356206,F3_62
172,F3,9376926.18028696,F3_62
172,F3,10727190.734248284,F3_62
172,F3,15648154.886462882,F3_62
172,F3,21694339.500311915,F3_62
173,F3,8926837.995633187,F3_63
173,F3,11747390.619463505,F3_63
173,F3,12782593.444167186,F3_63
173,F3,21484298.347473487,F3_63
173,F3,22174433.563942607,F3_63
174,F1,1935468.1940112289,F3_64
174,F1,17508519.383031815,F3_64
174,F1,21244251.31565814,F3_64
174,F1,21829365.955708046,F3_64
175,F2,7126485.257018091,F3_65
175,F2,17013422.379912663,F3_65
175,F2,17628542.898939487,F3_65
176,F3,1155315.3406113537,F3_66
176,F3,5161100.184029943,F3_66
176,F3,9001852.693075484,F3_66
176,F3,10382123.126013724,F3_66
176,F3,12857608.141609482,F3_66
176,F3,20509107.280723643,F3_66
176,F3,21184239.557704303,F3_66
177,F3,360159.5477230193,F3_67
177,F3,5566179.55021834,F3_67
177,F3,7471552.865252651,F3_67
177,F3,18033622.265127886,F3_67
178,F3,1935468.1940112289,F3_68
178,F3,2235526.9837804115,F3_68
178,F3,8536761.56893325,F3_68
